filepath,pseudo_label,distance
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.632437,45.366763.jpg",0,41.346478
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.723029,45.348225.jpg",0,41.47581
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.7711,49.148524.jpg",0,37.02499
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.844217,45.536981.jpg",0,30.489681
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.870469,49.233756.jpg",0,34.174973
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.426153,43.851839.jpg",0,39.52485
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.706206,45.35137.jpg",0,36.664967
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.88458,49.232894.jpg",0,37.10514
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.000514,49.254084.jpg",0,37.112427
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.073319,49.157176.jpg",0,41.138134
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-114.037091,51.104831.jpg",0,39.77797
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.280814,43.824519.jpg",0,39.331295
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.7468,49.243632.jpg",0,37.809658
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.678383,45.345438.jpg",0,39.373005
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.838394,49.20067.jpg",0,39.559517
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-114.13353,51.033636.jpg",0,41.906605
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.879779,45.453684.jpg",0,40.799618
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.927354,50.915741.jpg",0,40.681473
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.915525,49.187347.jpg",0,37.806206
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.986223,50.975056.jpg",0,40.181633
