image_path,prediction
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.08059,48.96163.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.39569,46.69994.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.637218,43.799327.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.418934,43.824782.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-71.12203,46.76169.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.775893,45.332174.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.441234,43.845561.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-78.26745,48.02068.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.655495,45.433036.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-78.2592,49.07644.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.18054,46.66607.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.39608,49.05666.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.09433,45.8738.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.154207,49.111959.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-69.8024,52.3783.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.776634,45.458526.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-71.62997,48.56475.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.53195,45.57015.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.791851,45.612493.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-71.90618,46.69455.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.19662,46.31115.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-76.7114,47.5009.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.7372,45.9528.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-77.1267,47.7789.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.688064,45.338621.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.759092,49.207975.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.251592,43.664291.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.68519,46.06475.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.480528,45.426014.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-77.05999,46.10132.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-114.028321,51.167978.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-79.51284,47.45714.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.036139,49.157482.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.667074,45.3533.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-75.69051,47.13729.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-70.56679,49.26979.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-76.70871,45.80936.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-78.28632,53.6319.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.57677,46.72512.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-66.1131,50.5119.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.70406,48.26979.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.10328,45.95534.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.643288,45.55608.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-68.72514,52.05666.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.043856,49.17263.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.689601,45.336077.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-75.18287,48.97063.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-79.11004,48.16337.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.662804,45.547011.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.606419,45.547247.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-71.24067,47.59323.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.929162,51.058273.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.651052,45.411396.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.631532,45.356719.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.335607,43.647599.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-68.96679,47.38459.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.680292,45.401562.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.89321,46.35492.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.66533,47.72332.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.851094,49.130413.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-72.02485,46.21613.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.0463,47.2641.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-66.60627,50.19005.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.108025,49.175325.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-123.129372,49.240121.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-114.135324,50.917434.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.14931,47.66427.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-75.7254,46.0045.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.508383,43.657072.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-75.99172,49.32284.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.942585,51.074336.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-73.68883,48.57734.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-69.53232,49.28597.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-122.865994,49.137301.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-75.0064,46.3533.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.50304,43.701818.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-69.87022,50.28597.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-79.717494,43.748354.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-75.597298,45.436282.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-74.88275,46.41157.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.919082,51.019757.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/wildfire/-71.71866,46.46883.jpg",1.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.785527,45.410564.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-113.947703,51.074932.jpg",0.0
"/home/maelys/ensta3A/computer_vision/train/nowildfire/-73.796502,45.444056.jpg",1.0
